10192,100,20,3,10,0 3600.03, 56
10192,100,20,3,10,1 720.51,   30
10192,100,20,3,10,2 1547.01, 30
13668,100,20,3,10,0 3600.02, 25
13668,100,20,3,10,1 3600.03, 58
13668,100,20,3,10,2 3600.03, 119
16168,100,20,3,10,0 3600.02, 35
16168,100,20,3,10,1 2027.24, 93
16168,100,20,3,10,2 1772.48, 93
21743,100,20,3,10,0 3600.04, 34
21743,100,20,3,10,1 3600.02, 17
21743,100,20,3,10,2 3600.05, 54
22333,100,20,3,10,0 3600.03, 30
22333,100,20,3,10,1 1674.19, 89
22333,100,20,3,10,2 1188.74, 89
22868,100,20,3,10,0 3600.02, 24
22868,100,20,3,10,1 3600.04, 97
22868,100,20,3,10,2 3267.48, 125
24661,100,20,3,10,0 3600.03, 32
24661,100,20,3,10,1 3600.03, 40
24661,100,20,3,10,2 3600.08, 72
4204,100,20,3,10,0 3600.03,  47
4204,100,20,3,10,1 3600.04,  59
4204,100,20,3,10,2 3600.03,  120
4909,100,20,3,10,0 3600.03,  67
4909,100,20,3,10,1 3600.04,  94
4909,100,20,3,10,2 3600.03,  126
9513,100,20,3,10,0 3600.04,  38
9513,100,20,3,10,1 1297.91,  70
9513,100,20,3,10,2 764.88,   70
12796,100,20,4,10,0 3600.03, 90
12796,100,20,4,10,1 3600.03, 43
12796,100,20,4,10,2 3600.04, 194
14211,100,20,4,10,0 3600.03, 54
14211,100,20,4,10,1 3600.03, 58
14211,100,20,4,10,2 3600.08, 185
15454,100,20,4,10,0 3600.04, 40
15454,100,20,4,10,1 3600.03, 75
15454,100,20,4,10,2 2527.17, 105
16764,100,20,4,10,0 3600.03, 132
16764,100,20,4,10,1 3600.04, 145
16764,100,20,4,10,2 3600.03, 275
19319,100,20,4,10,0 3600.03, 77
19319,100,20,4,10,1 3600.03, 56
19319,100,20,4,10,2 3600.05, 309
19925,100,20,4,10,0 3600.03, 32
19925,100,20,4,10,1 2850.76, 125
19925,100,20,4,10,2 758.18,  125
23750,100,20,4,10,0 3600.03, 81
23750,100,20,4,10,1 3600.03, 48
23750,100,20,4,10,2 3600.03, 144
25472,100,20,4,10,0 3600.02, 28
25472,100,20,4,10,1 3600.03, 29
25472,100,20,4,10,2 3600.04, 164
7777,100,20,4,10,0 3600.04,  160
7777,100,20,4,10,1 3600.03,  78
7777,100,20,4,10,2 3600.04,  234
910,100,20,4,10,0 3600.03,   65
910,100,20,4,10,1 3600.03,   67
910,100,20,4,10,2 3600.03,   224
11430,100,20,5,10,0 3600.04, 202
11430,100,20,5,10,1 3600.03, 50
11430,100,20,5,10,2 3600.03, 188
12579,100,20,5,10,0 3600.10, 444
12579,100,20,5,10,1 3600.03, 32
12579,100,20,5,10,2 3600.03, 219
25727,100,20,5,10,0 3600.03, 135
25727,100,20,5,10,1 1791.26, 102
25727,100,20,5,10,2 717.51,  102
2815,100,20,5,10,0 3600.04,  103
2815,100,20,5,10,1 3600.05,  202
2815,100,20,5,10,2 3600.04,  257
30954,100,20,5,10,0 3600.05, 260
30954,100,20,5,10,1 3600.03, 98
30954,100,20,5,10,2 3600.04, 379
31699,100,20,5,10,0 3600.04, 88
31699,100,20,5,10,1 3600.04, 83
31699,100,20,5,10,2 3600.10, 184
5718,100,20,5,10,0 3600.02,  63
5718,100,20,5,10,1 3600.04,  204
5718,100,20,5,10,2 3600.06,  435
