100,20,3,10,10192,0,163.54,150.03,38
,20,3,10,13668,0,164.21,150.03,22
,20,3,10,16168,0,164.60,150.03,8
,20,3,10,21743,0,162.77,150.03,32
,20,3,10,22333,0,163.57,150.03,19
,20,3,10,22868,0,164.49,150.03,9
,20,3,10,24661,0,163.51,150.03,14
,20,3,10,4204,0,163.17,150.03,27
,20,3,10,4909,0,163.71,150.04,49
,20,3,10,9513,0,164.72,150.03,26
,20,4,10,12796,0,163.12,150.03,45
,20,4,10,14211,0,167.98,150.03,44
,20,4,10,15454,0,162.99,150.03,65
,20,4,10,16764,0,163.99,150.04,125
,20,4,10,19319,0,164.28,150.04,137
,20,4,10,19925,0,0.15,0.22,0
,20,4,10,23750,0,164.59,150.04,113
,20,4,10,25472,0,0.40,0.25,0
,20,4,10,7777,0,163.35,150.02,84
,20,4,10,910,0,163.73,150.03,45
,20,5,10,11430,0,0.17,0.23,0
,20,5,10,12579,0,163.99,150.06,282
,20,5,10,25727,0,0.40,0.24,0
,20,5,10,2815,0,163.83,150.04,64
,20,5,10,30954,0,0.16,0.22,0
,20,5,10,31699,0,164.33,150.03,54
,20,5,10,5718,0,164.61,150.04,42
,20,5,10,5769,0,163.90,150.03,44
,20,5,10,6357,0,166.44,150.03,30
,20,5,10,7426,0,164.93,150.04,125
150,30,3,10,13932,0,167.68,150.04,23
,30,3,10,15261,0,163.69,150.03,42
,30,3,10,17139,0,164.26,150.03,35
,30,3,10,18048,0,164.31,150.03,30
,30,3,10,206,0,166.80,150.02,23
,30,3,10,23138,0,164.16,150.03,23
,30,3,10,2394,0,163.50,150.03,22
,30,3,10,2447,0,165.03,150.04,48
,30,3,10,25469,0,164.42,150.03,14
,30,3,10,25512,0,167.00,150.03,17
,30,4,10,11753,0,164.64,150.03,12
,30,4,10,1187,0,0.41,0.25,0
,30,4,10,12780,0,165.36,150.03,45
,30,4,10,17082,0,164.46,150.04,82
,30,4,10,18129,0,165.07,150.04,116
,30,4,10,18841,0,167.88,150.05,121
,30,4,10,2232,0,165.44,150.05,59
,30,4,10,26721,0,165.03,150.04,57
,30,4,10,7551,0,164.28,150.03,36
,30,4,10,9425,0,165.97,150.03,42
,30,5,10,13903,0,166.05,150.07,139
,30,5,10,14684,0,164.52,150.05,128
,30,5,10,21548,0,167.12,150.04,78
,30,5,10,22973,0,165.57,150.04,193
,30,5,10,24540,0,166.64,150.05,189
,30,5,10,26557,0,166.75,150.04,128
,30,5,10,27430,0,0.42,0.27,0
,30,5,10,7486,0,164.78,150.05,159
,30,5,10,894,0,166.05,150.03,16
,30,5,10,9529,0,164.65,150.04,91
